ID Escola,ID Inep,Escola,DRE,Tipo de Ensino,Possui 3o Ano,Área Urbana,Categoria,SAEB 23 Taxa Participação,SAEB 23 Nota Média PT,SAEB 23 Nota Média Mat,SAESE 24 Proficiência PT,SAESE 24 Proficiência MAT,Participação Avaliação Diagnóstica,Rendimento Médio Língua Portuguesa Avaliação Diagnóstica,Rendimento Médio Matemática Avaliação Diagnóstica,Número de Alunos,Participação Avaliação Formativa,Rendimento LP Avaliação Formativa,Rendimento MAT Avaliação Formativa
14202768,28018494,CENTRO DE EXCELÊNCIA NELSON MANDELA,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"92,00%","258,83",259,"256,1","249,9",78%,55%,48%,341,"86,2%","58,93%","47,6%"
14202643,28018702,COLÉGIO ESTADUAL JORNALISTA PAULO COSTA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"90,32%","265,42","258,67","279,5","256,7",73%,39%,24%,406,"80,8%","44,50%","35,5%"
14202738,28019717,CENTRO DE EXCELENCIA CORONEL FRANCISCO SOUZA PORTO,DEA,Ensino Médio Integral,Sim,Urbana,Regular,,,,,,94%,31%,27%,66,"100,0%","43,23%","54,7%"
14202627,28018117,COLÉGIO ESTADUAL PROFESSOR BENEDITO OLIVEIRA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"92,21%","268,06","262,22","263,5","246,2",78%,39%,34%,461,"85,4%","36,13%","33,8%"
14202782,28018400,CENTRO DE EXCELÊNCIA PROFESSOR GONÇALO ROLLEMBERG LEITE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"92,86%","282,93","278,03",284,"280,5",94%,38%,30%,203,"94,1%","51,98%","57,0%"
11046445,28017838,CENTRO DE EXCELENCIA ATHENEU SERGIPENSE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"98,44%","292,72","280,93","301,6","290,7",98%,49%,56%,958,"98,8%","81,87%","80,4%"
14202605,28018435,CENTRO DE EXCELÊNCIA BARÃO DE MAUÁ,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"98,89%","283,83","267,35","277,3","262,4",93%,51%,46%,598,"94,2%","60,46%","52,5%"
14202730,28026730,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO PROFISSIONAL JOSÉ FIGUEIREDO BARRETO,DEA,Ensino Profissional,Sim,Urbana,Regular,,,,"268,1","258,4",92%,45%,43%,298,"92,9%","59,39%","55,5%"
14202612,28019180,COLÉGIO ESTADUAL PAULINO NASCIMENTO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"80,52%","239,17","245,45","246,1","241,1",89%,31%,27%,196,"93,6%","32,56%","28,7%"
14202907,28018818,COLÉGIO ESTADUAL OLAVO BILAC,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"88,33%","253,89",249,"237,5","235,9",73%,40%,37%,370,"81,0%","46,00%","31,9%"
14202763,28018460,CENTRO DE EXCELÊNCIA LEANDRO MACIEL,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"92,59%","280,56","273,65","276,4","261,4",99%,46%,43%,262,"93,9%","50,00%","47,4%"
14202632,28033477,CENTRO DE EXCELÊNCIA  VITÓRIA DE SANTA MARIA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"77,60%",,,"235,1","227,8",70%,39%,40%,629,"89,4%","48,72%","46,8%"
14202644,28018508,COLEGIO ESTADUAL PROFESSOR ARICIO FORTES,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"80,77%","245,76","242,56",262,"237,6",47%,33%,28%,318,"79,4%","35,93%","34,0%"
14202751,28017862,CENTRO DE EXCELÊNCIA PROFESSOR JOÃO COSTA,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"101,16%","272,85","259,57","274,7","259,7",86%,60%,46%,610,"92,1%","58,33%","53,8%"
14202801,28018478,CENTRO DE EXCELÊNCIA PROFESSOR JOSÉ CARLOS DE SOUZA,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"92,31%","280,72","262,34","272,5","265,6",79%,50%,44%,332,"95,4%","45,48%","42,7%"
14202769,28017846,COLEGIO ESTADUAL JACKSON DE FIGUEIREDO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"83,68%","261,47","254,45","238,8","239,8",74%,45%,40%,595,"88,1%","58,91%","47,2%"
14202617,28018567,COLÉGIO ESTADUAL 17 DE MARÇO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"103,08%","264,42","261,04","271,8","252,8",87%,42%,36%,251,"98,8%","57,60%","45,7%"
14210619,28018125,COLÉGIO ESTADUAL IVO DO PRADO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"67,09%",,,"268,9","249,8",84%,48%,35%,439,"88,6%","52,21%","44,5%"
14202772,28019725,COLÉGIO ESTADUAL GENERAL SIQUEIRA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"72,11%",,,248,"240,4",79%,51%,54%,612,"83,1%","50,99%","53,9%"
14202908,28019067,COLEGIO ESTADUAL MINISTRO PETRONIO PORTELA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"102,68%","259,51","260,83","276,8","254,3",85%,44%,40%,528,"91,4%","54,73%","48,7%"
14202802,28018320,COLÉGIO ESTADUAL PROFESSOR JOAQUIM VIEIRA SOBRAL,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"85,07%",262,"252,39","257,3","250,3",95%,55%,61%,324,"97,7%","61,41%","54,2%"
14202777,28018761,COLÉGIO ESTADUAL LEONOR TELES DE MENEZES,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"101,52%","258,01","247,96","261,4","248,8",19%,49%,43%,247,"88,5%","51,93%","45,0%"
14202623,28018389,CENTRO DE EXCELÊNCIA SECRETÁRIO DE ESTADO FRANCISCO ROSA SANTOS,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"91,07%",245,"246,01","256,3","250,7",79%,39%,33%,675,"85,8%","43,06%","45,0%"
14202790,28028783,CENTRO DE EXCELÊNCIA GOVERNADOR DJENAL TAVARES QUEIROZ,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"100,00%","288,85","271,01","277,2",264,95%,66%,68%,271,"98,1%","65,94%","68,9%"
14202507,28019164,CENTRO DE EXCELÊNCIA JOHN KENNEDY,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"88,10%","261,44","264,09","277,6","265,7",89%,43%,32%,189,"93,5%","45,93%","39,3%"
14202781,28018869,COLÉGIO ESTADUAL PROFESSOR ACRÍSIO CRUZ,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"98,51%","263,74","262,16",269,"254,4",99%,39%,31%,299,"100,0%","42,08%","43,7%"
14202620,28018974,COLÉGIO ESTADUAL SENADOR LEITE NETO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,,,,,,65%,35%,46%,276,"60,5%","60,24%","30,9%"
14202464,28018486,CENTRO DE EXCELÊNCIA PROFESSORA MARIA IVANDA DE CARVALHO NASCIMENTO,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"95,70%","272,9","257,84","258,5","260,4",88%,61%,51%,242,"96,5%","71,31%","69,8%"
14202641,28018516,COLEGIO ESTADUAL TOBIAS BARRETO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"100,33%","269,86","269,44","278,8","267,6",76%,57%,57%,925,"95,8%","66,37%","68,7%"
14202753,28018451,CENTRO DE EXCELÊNCIA DOM LUCIANO JOSÉ CABRAL DUARTE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"90,80%","274,93","269,71","285,6",277,80%,61%,56%,626,"92,7%","73,68%","69,4%"
14202613,28018915,CENTRO DE EXCELÊNCIA PROFESSORA OFENÍSIA SOARES FREIRE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"93,88%","275,36","263,49",286,"262,9",94%,59%,55%,308,"98,8%","72,49%","67,8%"
14202541,28019806,INSTITUTO DE EDUCAÇÃO RUY BARBOSA,DEA,Ensino Profissional,Sim,Urbana,Regular,,,,,,81%,44%,32%,160,"100,0%","63,57%","54,7%"
14202616,28018796,COLÉGIO ESTADUAL MONSENHOR CARLOS CAMÉLIO COSTA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"86,57%","250,99","246,36","242,7","243,4",78%,39%,31%,225,"95,1%","39,10%","29,2%"
14202468,28018575,COLÉGIO ESTADUAL 24 DE OUTUBRO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,"88,28%","260,15","256,32","255,3","239,6",67%,45%,44%,429,"79,2%","46,55%","47,8%"
14202913,28017854,CENTRO DE EXCELÊNCIA PROFESSOR PAULO FREIRE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"93,75%","258,32","252,02","243,9","233,8",92%,39%,32%,186,"82,4%","33,53%","33,5%"
14202821,28018419,CENTRO DE EXCELÊNCIA GOVERNADOR AUGUSTO FRANCO,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"96,92%","280,61","259,46","238,8",237,100%,46%,45%,371,"100,0%","57,75%","50,0%"
14202466,28018940,CENTRO DE EXCELÊNCIA SANTOS DUMONT,DEA,Ensino Médio Integral,Sim,Urbana,Regular,"82,61%","280,9","274,24","272,8",278,92%,49%,42%,481,"92,4%","50,95%","48,4%"
